code,description,unit
M,,,
,,,
,,,
M215,,,
M440,,,
M505,,,
M618,,,
100,General Conditions,,
M1000001,Not a Bid Item - This block for spacing only!,N/A,
M1000002,Item DELETED,N/A,
M1000010,Art Work,Job,
M1000011,Art Feature,Each,
M1000012,Artistic Bus Shelter - Mid-Block,Each,
M1000013,Artistic Bus Shelter - Major Intersection,Each,
M1000020,"Logo, Furnish and Install",Each,
M1000025,"Monument Signs with Foundation, Furnish and Install",Each,
M1000030,Art Work Mounting & Anchor System,Job,
M1000040,Art Work Large Format Printing,Job,
M1000100,Time And Materials Contract Profit And Overhead Markup Percentage,Percent,
M1001000,Archaeological Monitoring Allowance,Job,
M1001010,Archaeological Trenching,Hour,
M1001050,404 Permit Monitoring Allowance,Job,
M1001054,Decommission Existing Drywell as per ADEQ Requirements,Each,
M1002000,Tunnel Construction Mobilization - Drill & Blast Method,Lump Sum,
M1002001,Tunnel Construction Mobilization - Tunnel Boring Method,Lump Sum,
M1002005,Mobilization,Job,
M1002050,Tunnel Construction Mobilization - Tunnel Boring Excavation Method,Lump Sum,
M1003000,Trench Rock Excavation,Lin. Ft.,
M1005048,"48"" Micro-Tunnel, Complete, including Pipe, Jacking and Receiving Pits, Pavement Replacement",Lin. Ft.,
103,Award and Execution of Contract,,
M1035000,Contract Bonding Cost Allowance,Job,
104,Scope of Work,,
M1041001,Pre-construction Services,Job,
M1042003,Allowance for ADOT Work,Job,
M1042004,Allowance for Extra Work,L.S.,
M1042005,Allowance for Extra Work,Allow,
M1042006,Allowance for Unforeseen Conditions,Job,
M1042007,Allowance for Extra Work,Job,
M1042008,Allowance for Extra Landscape Work,L.S.,
M1042010,Allowance For Repairs Listed as Imminent Hazards,Job,
M1042020,Allowance for Maintaining Access Road,Job,
M1042030,Construct and Maintain Detour Road,Job,
M1042500,Allowance to Power Company,Job,
M1042600,Work for A.P.S.,Job,
M1042700,Work for QWEST,Job,
M1042800,Work for Cox,Job,
M1042900,Allowance for Rail Road,Job,
105,Control of Work,,
M1051000,Engineer's Field Office,Month,
M1051005,Engineer's Field Office,Job,
M1052005,Allowance For Field Office,Job,
M1058000,Construction Surveying And Layout,Lump Sum,
M1058001,Construction Sureveying and Layout,LS,
M1058002,2-Person Survey Party Contingent Item,Hour,
M1058003,3-Person Survey Party Contingent Item,Hour,
M1058004,4-Person Survey Party Contingent Item,Hour,
M1058010,Asbuilt Preparation,Hour,
107,Legal Relations and Responsibility To Public,,
M1070000,Public Information and Notification Allowance,Job,
108,"Commencement, Prosecution and Progess",,
M1081000,Mobilization,Job,
M1081200,Allowance for Incentive Bonus per Specifications,Job,
M1086000,Provide On The Job Training,Hour,
109,"Commencement, Prosecution, and Progress",,
M1095000,Research/Shop Time Rate,Hour,
M1095010,"Excavation & Backfill, Time & Materials",Job,
M1095015,Valve Parts Allowance,Job,
M1095016,Valve Repair Rate,Hour,
200,Earthwork,,
M2000001,Earthwork,Job,
M2000002,Earthwork,Cu. Yd.,
M2000050,Soil Removal,Cu. Yd.,
M2001000,Stockpile Existing Desert Material,Job,
M2001004,Re-Grade Edge of Retention Basin,L.S.,
M2001005,Re-Grade Edge of Retention Basin,Cu. Yd.,
M2002300,Cofferdams,Lin. Ft.,
201,Clearing and Grubbing,,
M2010010,Clearing and Grubbing,Lump Sum,
M2010015,"Clearing, Grubbing, and Stripping",Job,
M2010020,Trail Clearing (7' Wide),Lin. Ft.,
M2010030,Clearing & Grubbing (MAG 201) and Subgrade Preparation (MAG 301),Sq. Yd.,
205,Roadway Excavation,,
M2050000,"Roadway Excavation, Including Haul",Job,
M2050001,"Roadway Excavation, Including Haul",Cu. Yd.,
M2050100,Replace Unsuitable Subgrade Materials,Cu. Yd.,
M2050500,Plaza Excavation,Cu. Yd.,
M2051000,Structural Excavation,Cu. Yd.,
M2052000,"Soil Stabilization, Contingent Item",Job,
206,Structure Excavation and Backfill,,
M2060100,"30"" Diameter Drilled Shaft",Lin. Ft.,
M2060101,"Drilled Shaft Foundation ( 120"" Diameter)",Lin. Ft.,
M2060116,"Drilled Shaft 1'-6""",L. F.,
M2060120,"Drilled Shaft 2'-0""",L. F.,
M2060126,"Drilled Shafts 2'-6""",Lin. Ft.,
M2060130,"Drilled Shafts 3'-0""",Lin. Ft.,
M2060135,"Drilled Shafts 3'-6""",Lin. Ft.,
M2060140,"Drilled Shafts 4'-0""",Lin. Ft.,
M2060145,"Drilled Shafts 4'-6""",Lin. Ft.,
