itemNumber,description,unit
2010001,CLEARING AND GRUBBING,L.SUM
2010002,CLEARING AND GRUBBING (,L.SUM
2010011,CLEARING AND GRUBBING,ACRE
2010020,REMOVAL OF TREES,EACH
2010030,REMOVAL OF WOODY VEGETATION,EACH
2020001,REMOVAL OF STRUCTURES AND OBSTRUCTIONS,L.SUM
2020002,REMOVE BRIDGE,L.SUM
2020003,REMOVE BRIDGE (,L.SUM
2020005,REMOVAL OF BRIDGE RAILING,L.SUM
2020007,REMOVAL OF MISCELLANEOUS CONCRETE,L.SUM
2020008,REMOVAL OF STRUCTURAL CONCRETE,L.SUM
2020009,REMOVAL OF STRUCTURAL CONCRETE,CU.YD.
2020010,REMOVAL OF STRUCTURAL CONCRETE (,L.SUM
2020011,REMOVAL OF BUILDINGS,EACH
2020014,REMOVAL OF STRUCTURES AND OBSTRUCTIONS (,L.SUM
2020017,REMOVAL OF ASPHALTIC CONCRETE (,L.SUM
2020019,REMOVAL OF EMBANKMENT CURB,L.FT.
2020020,REMOVAL OF CONCRETE CURB,L.FT.
2020021,REMOVAL OF CONCRETE CURB AND GUTTER,L.FT.
2020023,REMOVE EXISTING CONCRETE MEDIAN BARRIER,L.FT.
2020024,"REMOVAL OF CONCRETE SIDEWALKS, DRIVEWAYS AND SLABS",L.SUM
2020025,"REMOVAL OF CONCRETE SIDEWALKS, DRIVEWAYS AND SLABS",SQ.FT.
2020027,REMOVAL OF CONCRETE BARRIER,L.FT.
2020029,REMOVAL OF ASPHALTIC CONCRETE PAVEMENT,SQ.YD.
2020030,REMOVAL OF ASPHALTIC CONCRETE PAVEMENT (,SQ.YD.
2020031,REMOVAL OF PORTLAND CEMENT CONCRETE PAVEMENT,SQ.YD.
2020032,REMOVAL OF ASPHALTIC CONCRETE PAVEMENT (,SQ.YD.
2020033,REMOVE (,SQ.YD.
2020034,REMOVAL OF SIGNS,L.SUM
2020036,REMOVAL OF ASPHALTIC CONCRETE PAVEMENT,SQ.YD.
2020037,REMOVE AND SALVAGE CATTLE GUARDS,EACH
2020038,REMOVAL OF ASPHALTIC CONCRETE PAVEMENT (,SQ.YD.
2020039,REMOVAL OF ASPHALTIC CONCRETE PAVEMENT (,SQ.YD.
2020040,REMOVAL OF ASPHALTIC CONCRETE PAVEMENT (,SQ.YD.
2020041,REMOVAL OF PIPE,L.FT.
2020042,REMOVAL OF PIPE (,L.FT.
2020045,REMOVAL OF RIPRAP,CU.YD.
2020047,REMOVAL OF SIGNS,EACH
2020048,REMOVAL OF STRUCTURE (,EACH
2020050,REMOVE (,L.SUM
2020051,REMOVE (,CU.YD.
2020052,REMOVE (,L.FT.
2020053,REMOVE (,EACH
2020054,REMOVE (,EACH
2020055,REMOVE AND SALVAGE (,L.SUM
2020056,REMOVE AND SALVAGE (,L.SUM
